#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
87,"Bodak Yellow","Cardi B",74,125,"pop, rap","Pop, Hip Hop","Invasion of Privacy",2018-04-06,03:43,93,70,7,0,49,10,20,-6,B Minor,4,2022-05-11,6KBYefIoo7KydImq1uUQlL,"Atlantic/KSR",10A,https://p.scdn.co/mp3-preview/44c4f56214e6ee44dfc30311e124dfd3ca39f499?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a0caffda54afd0a65995bbab
88,"Caroline","Aminé",74,120,"pop rap, portland hip hop, rap, underground hip hop","Hip Hop","Good For You",2017-07-28,03:29,94,34,17,0,71,50,20,-10,F Minor,4,2022-05-11,5hTpBe8h35rJ67eAWHQsJx,"Universal Records",4A,,https://i.scdn.co/image/ab67616d0000485160282020360f5048976275aa
89,"Lonely Together (feat. Rita Ora)","Avicii,Rita Ora",74,103,"dance pop, edm, pop, pop dance, uk pop","Pop, Electronic","AVĪCI (01)",2017-08-10,03:01,66,67,13,0,27,0,0,-5,F Major,4,2022-05-11,75NhhYjHO43mvZgYtnXgti,"Universal Music AB",7B,,https://i.scdn.co/image/ab67616d00004851a26cc58b4d64c2ece3376389
90,"Tunnel Vision","Kodak Black",74,172,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino","Hip Hop, Latin","Painting Pictures",2017-03-31,04:28,50,49,6,0,23,20,10,-8,B Minor,4,2022-05-11,4Q3N4Ct4zCuIHuZ65E3BD4,"Atlantic Records",10A,https://p.scdn.co/mp3-preview/6feb4c99d660dfb5d5856151bcbc96f407b73ebc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511541a676423805fc68ff3e66
91,"Liability","Lorde",75,76,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,02:51,59,23,92,0,38,10,10,-11,A#/B♭ Minor,4,2022-05-11,6Kkt27YmFyIFrcX3QXFi2o,"Universal Music New Zealand Limited",3A,,https://i.scdn.co/image/ab67616d00004851f8553e18a11209d4becd0336
92,"iSpy (feat. Lil Yachty)","KYLE,Lil Yachty",73,75,"deep underground hip hop, indie pop rap, meme rap, pop r&b, pop rap, viral trap, atl hip hop, melodic rap, rap, trap","Hip Hop, R&B","iSpy (feat. Lil Yachty)",2016-12-02,04:13,75,65,38,0,67,20,20,-7,G Major,4,2022-05-11,2EEeOnHehOozLq4aS0n6SL,"independently popular.",9B,https://p.scdn.co/mp3-preview/2f295f6d2c818c3144fcaa75182c212826ff2373?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485132e373f2988bc6596a542d1c
93,"do re mi","blackbear",73,111,"pop","Pop","digital druglord",2017-04-21,03:32,75,59,1,0,17,0,10,-6,G#/A♭ Major,3,2022-05-11,6Se3x9ANMLv0dCDsjGmEjh,"Alamo",4B,https://p.scdn.co/mp3-preview/ce9402740f8b1226321ed18ff4f459318aa19104?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c112ab47442b526755ffe36
94,"Rolex","Ayo & Teo",73,145,"trap, viral rap, viral trap","Hip Hop","Rolex",2017-03-15,03:58,80,89,8,0,79,0,20,-3,C♯/D♭ Major,4,2022-05-11,0pSBuHjILhNEo55xK1zrRt,"Columbia",3B,https://p.scdn.co/mp3-preview/7171e6e1709f269a6d88d0d343414d8d5d4d1894?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485179dbd95fbdf6b0d617bd32dd
95,"Slide (feat. Frank Ocean & Migos)","Calvin Harris,Frank Ocean,Migos",73,104,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, lgbtq+ hip hop, neo soul, atl hip hop, hip hop, pop rap, rap, trap","Hip Hop, Pop, Electronic, R&B","Slide (feat. Frank Ocean & Migos)",2017-02-24,03:50,74,80,50,0,51,0,20,-3,C♯/D♭ Minor,4,2022-05-11,6gpcs5eMhJwax4mIfKDYQk,"Columbia",12A,https://p.scdn.co/mp3-preview/16f9a0b74ce7aa75cfcfcd2bd928cda87ba11045?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511e439ac0ed08d612808f7122
96,"ELEMENT.","Kendrick Lamar",73,190,"conscious hip hop, hip hop, rap, west coast rap","Hip Hop","DAMN.",2017-04-14,03:28,75,71,20,0,48,40,20,-5,E Minor,4,2022-05-11,1EaKU4dMbesXXd3BrLCtYG,"Aftermath",9A,,https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699
97,"All Night","The Vamps,Matoma",73,145,"boy band, pop, pop dance, tropical house","Pop, Electronic","Night & Day (Night Edition)",2017-07-14,03:17,54,80,0,0,51,0,30,-5,G#/A♭ Major,4,2022-05-11,0dXNQ8dckG4eYfEtq9zcva,"EMI",4B,,https://i.scdn.co/image/ab67616d00004851f36a4e2e1687e678f29328cb
98,"Sit Next to Me","Foster The People",73,97,"indietronica, modern alternative rock, modern rock, rock","Pop, Rock","Sacred Hearts Club",2017-07-21,04:03,64,74,12,0,66,0,60,-5,F#/G♭ Minor,4,2022-05-11,4BdGO1CaObRD4La9l5Zanz,"Columbia",11A,https://p.scdn.co/mp3-preview/c8022c794a5b5e33303d31773f8ec168b7737a28?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca02f2ecba4a803b191c7eab
99,"Despacito - Remix","Luis Fonsi,Daddy Yankee,Justin Bieber",73,178,"latin pop, puerto rican pop, latin hip hop, reggaeton, trap latino, urbano latino, canadian pop, pop","Pop, Hip Hop, Latin","VIDA",2019-02-01,03:50,65,80,23,0,86,10,0,-4,D Major,4,2022-05-11,1vnnXMrBeEWiRg3YCMCjQq,"UMLE - Latino",10B,,https://i.scdn.co/image/ab67616d00004851ef0d4234e1a645740f77d59c
100,"Chained To The Rhythm","Katy Perry,Skip Marley",72,95,"pop, modern reggae","World/Traditional, Pop","Witness (Deluxe)",2017-06-09,03:57,56,80,8,0,47,10,20,-5,C Major,4,2022-05-11,7qvxFz3JodM0A7xEM7k3YD,"Capitol Records (CAP)",8B,,https://i.scdn.co/image/ab67616d00004851cce6bab1f59b165133175d88
